Question,Answer,Category,Language
കാറ്റടിച്ചാൽ കുട പിടിക്കും വെയിലടിച്ചാൽ കുട പിടിക്കും,കൂൺ,Cultural,Malayalam
ആയിരം പേർക്ക് ഒരരഞ്ഞാൺ,ചൂല്,Cultural,Malayalam
മുറ്റത്തെ ചെപ്പിന് അടപ്പില്ല,കിണർ,Cultural,Malayalam
പച്ചക്കുപ്പായമിട്ട ചുവന്ന സുന്ദരി,മുളക്,Cultural,Malayalam
അമ്മ തറയിൽ മകൾ ആകാശത്ത്,മത്തങ്ങ/കുമ്പളങ്ങ,Cultural,Malayalam
കറുത്ത പശുവിന് വെളുത്ത പാൽ,റബ്ബർ മരം,Cultural,Malayalam
ഒരു കണ്ണ് മാത്രമുള്ള കുള്ളൻ വാലിൽ പിടിച്ചാൽ ഓടും,സൂചി,Cultural,Malayalam
ഉടുപ്പില്ലാതെ പുറത്തിറങ്ങാത്ത സുന്ദരി,വാഴപ്പഴം,Cultural,Malayalam
വെള്ളപ്പൊക്കത്തിലും നനയാത്ത തുണി,നാവ്,Cultural,Malayalam
ചിറകില്ലെങ്കിലും പറക്കും കാലില്ലെങ്കിലും ഓടും,കത്ത്,Cultural,Malayalam
തലയിൽ കിരീടം ഉടലിൽ കണ്ണുകൾ,കൈതച്ചക്ക,Cultural,Malayalam
അമ്മ കുഴിയിൽ മകൾ കയറിൽ,കിണറും പാളയും,Cultural,Malayalam
പെട്ടിയിൽ കിടക്കും പാവങ്ങൾ തലയുരച്ചാൽ കത്തും,തീപ്പെട്ടി,Cultural,Malayalam
വെള്ളപ്പാടത്ത് കറുത്ത വിത്ത്,അക്ഷരങ്ങൾ,Cultural,Malayalam
നീ ചിരിച്ചാൽ ചിരിക്കും നീ കരഞ്ഞാൽ കരയും,കണ്ണാടി,Cultural,Malayalam
ആയിരം മക്കൾക്ക് ഒരമ്മ,വാഴക്കുല,Cultural,Malayalam
പച്ചക്കടലിൽ ചുവന്ന മീൻ,ചുവന്ന മുളക്,Cultural,Malayalam
അടിച്ചാൽ കരയില്ല നുള്ളിയാൽ കരയും,മണി,Cultural,Malayalam
കുളി കഴിഞ്ഞു വന്നപ്പോൾ അമ്മയ്ക്ക് മുല മൂന്ന്,അടുപ്പ്,Cultural,Malayalam
അച്ഛൻ വരും മുമ്പേ മകൻ മേൽക്കൂരയിൽ,പുക,Cultural,Malayalam
വെള്ളത്തിൽ ജനിക്കും വെള്ളത്തിൽ മരിക്കും,ഉപ്പ്,Cultural,Malayalam
തല വെട്ടിയാൽ ഉയരം കൂടും,മെഴുകുതിരി,Cultural,Malayalam
നടക്കുമ്പോൾ കൂടെ വരും നിന്നാൽ നിൽക്കും,നിഴൽ,Cultural,Malayalam
മരത്തിനു മുകളിൽ ഒരു തണ്ണീർ പന്തൽ,തെങ്ങിൻ തലപ്പ്,Cultural,Malayalam
വായ മൂടി മുഖത്തടിച്ചാൽ കേൾക്കാനിമ്പം,മദ്ദളം,Cultural,Malayalam
പൂജാരിക്ക് മാത്രം അറിയാവുന്ന അഞ്ജലി,പുഷ്പാഞ്ജലി,Cultural,Malayalam
ഒറ്റക്കാലിൽ നൃത്തം ചെയ്യുന്ന പെണ്ണ്,പമ്പരം,Cultural,Malayalam
മഴ വന്നാൽ വിരിയും വെയിൽ വന്നാൽ മടങ്ങും,കുട,Cultural,Malayalam
കണ്ണുണ്ടായാലും കാണില്ല കാലുണ്ടായാലും നടക്കില്ല,കസേര,Cultural,Malayalam
കണ്ണീർ കുടിക്കുന്നവൻ,തൂവാല,Cultural,Malayalam
അരപ്പണമുണ്ട് ചക്രം വാങ്ങാൻ കഴിവില്ല,പപ്പായ,Cultural,Malayalam
ആയിരം കണ്ണുള്ളോൻ ഇന്ദ്രനല്ല,വല,Cultural,Malayalam
കണ്ണില്ലാത്തവന് കാഴ്ച കൊടുക്കും,വടി,Cultural,Malayalam
വെള്ളിക്കിണ്ണം ഒഴുകിയൊഴുകി പോകുന്നു,ചന്ദ്രൻ,Cultural,Malayalam
കടലിലുണ്ടാകും കാറ്റിൽ പറക്കും,ഉപ്പ്,Cultural,Malayalam
മണ്ണിൽ കുഴിച്ചിട്ടാൽ മരമാകും വെള്ളത്തിലിട്ടാൽ പൊങ്ങും,തേങ്ങ,Cultural,Malayalam
എണ്ണക്കറുപ്പിക്ക് പൊന്ന് പോലെ മുടി,കുന്നിക്കുരു,Cultural,Malayalam
ഇരുന്നാൽ കുഞ്ഞൻ നടന്നാൽ വമ്പൻ,നിഴൽ,Cultural,Malayalam
ഉപ്പില്ലാത്ത ചോറ് ഉണ്ണാത്ത വയറില്ല,ചുണ്ണാമ്പ്,Cultural,Malayalam
ഒരു മുറി തേങ്ങ മുറ്റത്ത് ഉണങ്ങുന്നു,ചന്ദ്രൻ,Cultural,Malayalam
പൊക്കിളിൽ വിരലിട്ടാൽ വായ് പൊളിക്കും,കത്രിക,Cultural,Malayalam
കാട്ടിൽ തടി വീട്ടിൽ കണക്കപ്പിള്ള,ഇടങ്ങഴി,Cultural,Malayalam
കുട്ടപ്പൻ വരും മുമ്പേ കോലായിൽ ചന്ദനം,മഞ്ഞ്,Cultural,Malayalam
തള്ള വിറയ്ക്കും പിള്ള കറങ്ങും,തിരികല്ല്,Cultural,Malayalam
തെക്കോട്ട് പോകുന്ന കാളയ്ക്ക് വടക്കോട്ട് വാൽ,കലപ്പ,Cultural,Malayalam
പുറത്ത് പാറ അകത്ത് വെള്ളം വായിൽ തീ,ചിമ്മിനി വിളക്ക്,Cultural,Malayalam
മുറിച്ചാൽ മുറിയാത്ത നീലപ്പട്ട്,ആകാശം,Cultural,Malayalam
മുറ്റത്തെ കുഴിയിൽ എപ്പോഴും വെള്ളം,കണ്ണ്,Cultural,Malayalam
വായ അടച്ചാൽ മാത്രം സംസാരിക്കുന്നവൻ,കത്ത്,Cultural,Malayalam
കാതിൽ തൂങ്ങുന്ന സുന്ദരി,കമ്മൽ,Cultural,Malayalam
ചുവന്ന സായിപ്പിന് കറുത്ത തൊപ്പി,കുന്നിക്കുരു,Cultural,Malayalam
വെളുത്ത പറമ്പിൽ കറുത്ത ഉറുമ്പുകൾ,പുസ്തകം,Cultural,Malayalam
നനഞ്ഞാലും ഉണങ്ങാത്ത തുണി,നാവ്,Cultural,Malayalam
അരക്കയ്യുള്ള സുന്ദരി വെള്ളം കുടിക്കുന്നു,കിണ്ടി,Cultural,Malayalam
എത്ര കുടിച്ചാലും ദാഹം തീരാത്തവൻ,കടൽ,Cultural,Malayalam
എത്ര കഴിച്ചാലും വയറു നിറയാത്തവൻ,തീ,Cultural,Malayalam
തള്ളയെ തൊട്ടാൽ മകൾ കരയും,മണി,Cultural,Malayalam
ഒറ്റക്കാലിൽ നിൽക്കും തപസ്വി,തെങ്ങ്,Cultural,Malayalam
കാലില്ലാതെ ഓടും കൈയില്ലാതെ അടിക്കും,കാറ്റ്,Cultural,Malayalam
എപ്പോഴും നനഞ്ഞിരിക്കും പക്ഷെ ഒരിക്കലും കുളിക്കില്ല,നാവ്,Cultural,Malayalam
ഉറങ്ങാൻ പോകുമ്പോൾ അടയ്ക്കും ഉണരുമ്പോൾ തുറക്കും,കണ്ണുകൾ,Cultural,Malayalam
തലയുണ്ട് മുടിയില്ല വായുണ്ട് സംസാരിക്കില്ല,തേങ്ങ,Cultural,Malayalam
മുറ്റത്തെ പച്ചില കൊട്ടാരത്തിൽ പത്തായിരം കാവൽക്കാർ,പുളിയുറുമ്പ് കൂട്,Cultural,Malayalam
അമ്മിമ്മയ്ക്ക് ഒരു പല്ല് അപ്പൂപ്പന് മുപ്പത്തിരണ്ട് പല്ല്,വെളുത്തുള്ളി,Cultural,Malayalam
അമ്മ കിടക്കും മകൾ ആടും,അമ്മിയും കുട്ടിയും,Cultural,Malayalam
ആകാശത്ത് മുട്ടയിടും തറയിൽ വിരിയും,മഴത്തുള്ളി,Cultural,Malayalam
വെള്ളം കുടിച്ചാൽ മരിക്കും കല്ലടിച്ചാൽ മരിക്കില്ല,തീ,Cultural,Malayalam
പച്ചക്കോട്ടയ്ക്കുള്ളിൽ കറുത്ത വിത്തുകൾ,പപ്പായ,Cultural,Malayalam
ആയിരം തിരിയിട്ട വിളക്ക് അന്തിയായപ്പോൾ അണഞ്ഞു,സൂര്യൻ,Cultural,Malayalam
അമ്മ തറയിൽ മകൾ മേൽക്കൂരയിൽ,പുക,Cultural,Malayalam
അച്ഛൻ പഴുത്താൽ മകൻ പഴുക്കില്ല,കൈതച്ചക്ക,Cultural,Malayalam
ഇരുന്നാൽ ഒരു മുളം നടന്നാൽ ആയിരം മുളം,നിഴൽ,Cultural,Malayalam
ഉള്ളു പൊള്ളയായ രാജാവിന് പച്ചക്കോട്ട,മുള,Cultural,Malayalam
ഉടുപ്പിന്മേൽ ഉടുപ്പിട്ടു സുന്ദരി നിൽക്കുന്നു,സവാള,Cultural,Malayalam
എത്ര നടന്നാലും വീടെത്താത്തവൻ,ചക്രം,Cultural,Malayalam
ഒരമ്മയ്ക്ക് ആയിരം ഓമനകൾ,ചൂല്,Cultural,Malayalam
