Question,Answer,Category
முருகனின் வாகனம் என்ன?,மயில்,cultural
சிவனின் வாகனம் என்ன?,நந்தி,cultural
விஷ்ணுவின் வாகனம் என்ன?,கருடன்,cultural
விழாவில் அணியும் ஆடை என்ன?,பட்டு,cultural
கோயிலில் ஏற்றும் விளக்கு என்ன?,ஆழி விளக்கு,cultural
மகளிர் கையில் அணிவது என்ன?,வளையல்,cultural
திருமணத்தில் கட்டுவது என்ன?,தாலி,cultural
கோயிலில் அடிக்கும் ஒலி என்ன?,மணி,cultural
ஆண்டில் முதல் தமிழ் மாதம் எது?,சித்திரை,cultural
கார்த்திகை தீபத்தில் ஏற்றுவது என்ன?,தீபம்,cultural
முருகனுக்கு பிடித்த மலர் என்ன?,அரளி,cultural
விழாவில் பகிரப்படும் இனிப்பு என்ன?,லட்டு,cultural
கோயிலில் ஊற்றுவது என்ன?,அபிஷேகம்,cultural
சிவன் இருக்கும் இடம் என்ன?,கைலாசம்,cultural
பொங்கலில் வைக்கும் பாத்திரம் என்ன?,பானை,cultural
விழாவில் ஒலிக்கும் தாளம் என்ன?,தவில்,cultural
மஞ்சள் குங்குமம் வைப்பது என்ன?,நெற்றி,cultural
கோயிலில் தூக்கும் வண்டி என்ன?,தேர்,cultural
விழாவில் சுற்றும் வண்டி என்ன?,தேர்,cultural
ஆடி மாதத்தில் பெண்கள் பாடுவது என்ன?,பாடல்,cultural
பொங்கலில் முதலில் பார்க்கும் சூரியன் என்ன?,சூரியன்,cultural
விழாவில் கையில் தருவது என்ன?,தாமரை,cultural
கோயிலில் வாசனை தருவது என்ன?,அகர்பத்தி,cultural
நவராத்திரியில் பாடுவது என்ன?,பஜனை,cultural
கோயிலில் தரையில் போடும் பொருள் என்ன?,மஞ்சள்,cultural
விழாவில் பெண்கள் அணிவது என்ன?,மல்லி,cultural
முருகன் இருக்கும் மலை என்ன?,பழனி,cultural
திருமணத்தில் முதலில் வைக்கும் பொருள் என்ன?,நிச்சயதார்த்தம்,cultural
கோயிலில் ஏற்றும் எண்ணெய் என்ன?,நெய்,cultural
விழாவில் குடிக்கும் பானம் என்ன?,பானகம்,cultural
பொங்கலில் வைக்கும் இலை என்ன?,வாழைஇலை,cultural
சிவன் அணியும் பொருள் என்ன?,ருத்ராட்சம்,cultural
கோயிலில் கொடுக்கும் இலை என்ன?,துளசி,cultural
விழாவில் பறக்கும் கொடி என்ன?,கொடி,cultural
கோயிலில் காணப்படும் கல் என்ன?,சிலை,cultural
திருவிழாவில் ஊர்வலம் என்ன?,பவனி,cultural
பொங்கலில் வைக்கும் சர்க்கரை என்ன?,வெல்லம்,cultural
கோயிலில் காணும் பூ என்ன?,மல்லி,cultural
முருகனின் சகோதரன் யார்?,விநாயகர்,cultural
கோயிலில் சுற்றுவது என்ன?,பிரதட்சிணை,cultural
நவராத்திரியில் பெண்கள் பாடுவது என்ன?,பஜனை,cultural
கோயிலில் தரப்படும் நீர் என்ன?,தீர்த்தம்,cultural
திருமணத்தில் வாசிக்கும் கருவி என்ன?,நாதஸ்வரம்,cultural
பொங்கலில் வைக்கும் பழம் என்ன?,வாழைப்பழம்,cultural
கோயிலில் அடிக்கும் தட்டு என்ன?,தாளம்,cultural
சிவனின் மனைவி யார்?,பார்வதி,cultural
விழாவில் ஏற்றும் தீ என்ன?,அக்னி,cultural
கோயிலில் ஒலிக்கும் இசை என்ன?,இசை,cultural
நவராத்திரியில் வைக்கும் பொம்மை என்ன?,கொலு,cultural
முருகனின் ஆயுதம் என்ன?,வேல்,cultural
கோயிலில் இருக்கும் குளம் என்ன?,குளம்,cultural
பொங்கலில் வைக்கும் பால் என்ன?,பால்,cultural
திருமணத்தில் அணியும் மாலை என்ன?,மாலை,cultural
கோயிலில் காணப்படும் விலங்கு என்ன?,நந்தி,cultural
விழாவில் ஒலிக்கும் சங்கு என்ன?,சங்கு,cultural
சிவன் தலையில் இருப்பது என்ன?,நிலா,cultural
பொங்கலில் வைக்கும் கரும்பு என்ன?,கரும்பு,cultural
கோயிலில் தரப்படும் பூ என்ன?,பூ,cultural
திருவிழாவில் வரும் கூட்டம் என்ன?,ஜனம்,cultural
முருகனின் தாயார் யார்?,பார்வதி,cultural
கோயிலில் ஏற்றும் தீபம் என்ன?,தீபம்,cultural
விழாவில் அணியும் ஆபரணம் என்ன?,நகை,cultural
பொங்கலில் சமைக்கும் உணவு என்ன?,சக்கரை பொங்கல்,cultural
கோயிலில் தரப்படும் சாமி என்ன?,விக்ரகம்,cultural
திருமணத்தில் தரப்படும் பரிசு என்ன?,பரிசு,cultural
கோயிலில் வாசனை தருவது என்ன?,தூபம்,cultural
விழாவில் ஒலிக்கும் இசை என்ன?,நாதம்,cultural
பொங்கலில் தரப்படும் உணவு என்ன?,பொங்கல்,cultural
கோயிலில் வைக்கும் விளக்கு என்ன?,விளக்கு,cultural
சிவன் குடிக்கும் பானம் என்ன?,கங்கை,cultural
விழாவில் ஆடும் மக்கள் என்ன?,ஜனம்,cultural
கோயிலில் தரப்படும் இலை என்ன?,துளசி,cultural
திருவிழாவில் வரும் தேர் என்ன?,தேர்,cultural
முருகனின் மலர் என்ன?,அரளி,cultural
பொங்கலில் வைக்கும் நெய் என்ன?,நெய்,cultural
கோயிலில் காணப்படும் மணி என்ன?,மணி,cultural
விழாவில் ஒலிக்கும் தவில் என்ன?,தவில்,cultural
திருமணத்தில் அணியும் பூ என்ன?,மல்லி,cultural
கோயிலில் தரப்படும் நீர் என்ன?,தீர்த்தம்,cultural
சிவன் இருக்கும் இடம் என்ன?,கோயில்,cultural
விழாவில் வரும் மக்கள் என்ன?,ஜனம்,cultural
பொங்கலில் வைக்கும் தண்ணீர் என்ன?,தண்ணீர்,cultural
கோயிலில் ஏற்றும் தீ என்ன?,அக்னி,cultural
திருவிழாவில் காணும் பூ என்ன?,பூ,cultural
முருகனின் பெயர் என்ன?,சுப்ரமணியன்,cultural
கோயிலில் தரப்படும் கல் என்ன?,சிலை,cultural
விழாவில் ஒலிக்கும் மணி என்ன?,மணி,cultural
பொங்கலில் வைக்கும் சர்க்கரை என்ன?,வெல்லம்,cultural
கோயிலில் தரப்படும் தீபம் என்ன?,தீபம்,cultural
திருமணத்தில் வாசிக்கும் இசை என்ன?,இசை,cultural
சிவன் அணியும் ஆபரணம் என்ன?,ருத்ராட்சம்,cultural
விழாவில் வரும் தேர் என்ன?,தேர்,cultural
கோயிலில் தரப்படும் பூ என்ன?,மல்லி,cultural
பொங்கலில் வைக்கும் பானை என்ன?,பானை,cultural
திருவிழாவில் வரும் மக்கள் என்ன?,கூட்டம்,cultural
முருகனின் ஆயுதம் என்ன?,வேல்,cultural
கோயிலில் ஏற்றும் விளக்கு என்ன?,விளக்கு,cultural
விழாவில் ஒலிக்கும் தவில் என்ன?,தவில்,cultural
பொங்கலில் தரப்படும் உணவு என்ன?,பொங்கல்,cultural
கோயிலில் தரப்படும் நீர் என்ன?,தீர்த்தம்,cultural
திருமணத்தில் அணியும் நகை என்ன?,நகை,cultural
சிவன் தலையில் இருக்கும் நீர் என்ன?,கங்கை,cultural
விழாவில் ஒலிக்கும் இசை என்ன?,நாதம்,cultural
பொங்கலில் வைக்கும் பழம் என்ன?,வாழைப்பழம்,cultural
கோயிலில் தரப்படும் பூ என்ன?,பூ,cultural
திருவிழாவில் வரும் தேர் என்ன?,தேர்,cultural
முருகனின் வாகனம் என்ன?,மயில்,cultural
கோயிலில் தரப்படும் இலை என்ன?,துளசி,cultural
விழாவில் ஒலிக்கும் மணி என்ன?,மணி,cultural
பொங்கலில் வைக்கும் நெய் என்ன?,நெய்,cultural
கோயிலில் தரப்படும் தீபம் என்ன?,தீபம்,cultural
திருமணத்தில் அணியும் பூ என்ன?,மல்லி,cultural
சிவன் இருக்கும் இடம் என்ன?,கோயில்,cultural
விழாவில் வரும் மக்கள் என்ன?,ஜனம்,cultural
