Question,Answer,Category
അഞ്ചും അഞ്ചും ചേർന്നാൽ പത്ത്. അഞ്ചും അഞ്ചും ഗുണിച്ചാൽ ഇരുപത്തിയഞ്ച്. അഞ്ചും പൂജ്യവും ഗുണിച്ചാൽ എത്ര?,0,Mathematical
100-ന്റെ പകുതിയുടെ പകുതി എത്ര?,25,Mathematical
5 ആടുകൾക്കും 2 കോഴികൾക്കും കൂടി ആകെ എത്ര കാലുകളുണ്ട്?,24,Mathematical
8-നെ നടുവിലൂടെ മുറിച്ചാൽ കിട്ടുന്ന രണ്ട് സംഖ്യകൾ ഏവ?,0,Mathematical
10-ൽ നിന്ന് എത്ര തവണ 2 കുറയ്ക്കാം?,ഒന്ന്,Mathematical
രണ്ട് പൂജ്യം ചേർത്താൽ എട്ട് കിട്ടുന്ന സംഖ്യ ഏത്?,800,Mathematical
ഒരു മാസത്തിൽ എത്ര ആഴ്ചകളുണ്ട്?,4,Mathematical
1 മുതൽ 10 വരെയുള്ള സംഖ്യകളിൽ എത്ര ഇരട്ട സംഖ്യകളുണ്ട്?,5,Mathematical
6-നെ തലതിരിച്ച് എഴുതിയാൽ കിട്ടുന്ന സംഖ്യ ഏത്?,9,Mathematical
"അഞ്ചും അഞ്ചും കൂട്ടിയാൽ 10, അഞ്ചും അഞ്ചും ഗുണിച്ചാൽ എത്ര?",25,Mathematical
ഒരു ഡസൻ മുട്ടയിൽ എത്ര എണ്ണമുണ്ടാകും?,12,Mathematical
ഏത് സംഖ്യയെ പൂജ്യം കൊണ്ട് ഗുണിച്ചാലും ഉത്തരം എന്തായിരിക്കും?,0,Mathematical
മൂന്ന് അക്കങ്ങളുള്ള ഏറ്റവും ചെറിയ സംഖ്യ ഏത്?,100,Mathematical
99-നോട് എത്ര കൂട്ടിയാൽ 100 കിട്ടും?,1,Mathematical
ഒരു സമചതുരത്തിന് എത്ര വശങ്ങളുണ്ട്?,4,Mathematical
15-ന്റെ ഇരട്ടി എത്ര?,30,Mathematical
7-നും 9-നും ഇടയിലുള്ള സംഖ്യ ഏത്?,8,Mathematical
10 മീറ്റർ നീളമുള്ള മരം 1 മീറ്റർ വീതം മുറിക്കാൻ എത്ര തവണ വെട്ടണം?,9,Mathematical
അര കിലോയും 500 ഗ്രാമും ചേർന്നാൽ എത്ര കിലോ ആകും?,1 കിലോ,Mathematical
രണ്ട് അക്കമുള്ള ഏറ്റവും വലിയ സംഖ്യ ഏത്?,99,Mathematical
"പകുതിയുടെ പകുതി കാൽഭാഗം എങ്കിൽ, കാൽഭാഗത്തിന്റെ ഇരട്ടി എത്ര?",അരഭാഗം,Mathematical
രണ്ട് ഡസൻ ഓറഞ്ചിൽ എത്ര എണ്ണമുണ്ടാകും?,24,Mathematical
ഒരു നൂറ്റാണ്ടിൽ എത്ര വർഷങ്ങളുണ്ട്?,100,Mathematical
അഞ്ചും അഞ്ചും ഗുണിച്ചാൽ കിട്ടുന്ന തുകയുടെ പകുതി എത്ര?,12.5,Mathematical
ഒരു രൂപയിൽ എത്ര പൈസയുണ്ട്?,100,Mathematical
അഞ്ച് വിരലുകളുള്ള നാല് കൈകളിൽ ആകെ എത്ര വിരലുകളുണ്ട്?,20,Mathematical
60 മിനിറ്റ് എന്നാൽ എത്ര മണിക്കൂർ?,1,Mathematical
ഒരു ത്രികോണത്തിന് എത്ര കോണുകളുണ്ട്?,3,Mathematical
ഏറ്റവും ചെറിയ ഇരട്ട സംഖ്യ ഏത്?,2,Mathematical
10-നോട് 10 കൂട്ടിയിട്ട് 5 കുറച്ചാൽ എത്ര?,15,Mathematical
ഒരു കിലോമീറ്ററിൽ എത്ര മീറ്ററുകളുണ്ട്?,1000,Mathematical
ഒരു ചതുരത്തിന് എത്ര മൂലകളുണ്ട്?,4,Mathematical
25-ന്റെ നാല് മടങ്ങ് എത്ര?,100,Mathematical
പൂജ്യത്തിന് മൂല്യമുണ്ടോ?,ഇല്ല,Mathematical
ഒരു ആഴ്ചയിൽ എത്ര ദിവസങ്ങളുണ്ട്?,7,Mathematical
100-ൽ നിന്ന് 10 എത്ര തവണ കുറയ്ക്കാം?,ഒന്ന്,Mathematical
അഞ്ചിൽ എത്ര ഒന്നുകളുണ്ട്?,5,Mathematical
രണ്ട് അക്കമുള്ള ഏറ്റവും ചെറിയ സംഖ്യ?,10,Mathematical
8-ന്റെ പകുതിയുടെ ഇരട്ടി എത്ര?,8,Mathematical
ഒരു ലീപ് ഇയറിൽ ഫെബ്രുവരിയിൽ എത്ര ദിവസമുണ്ട്?,29,Mathematical
9-നോട് എത്ര കൂട്ടിയാൽ 18 കിട്ടും?,9,Mathematical
രണ്ട് ലിറ്റർ പാലിൽ എത്ര മില്ലി ലിറ്റർ ഉണ്ട്?,2000,Mathematical
പത്തിന്റെ പത്ത് മടങ്ങ് എത്ര?,100,Mathematical
6-ഉം 4-ഉം കൂട്ടിയാൽ എത്ര?,10,Mathematical
ഒറ്റ സംഖ്യയല്ലാത്ത ഒരേയൊരു അഭാജ്യ സംഖ്യ?,2,Mathematical
അഞ്ച് രൂപയുടെ പത്ത് നോട്ട് ചേർന്നാൽ എത്ര രൂപയാകും?,50,Mathematical
ഒരു ഡസന്റെ പകുതി എത്ര?,6,Mathematical
4-ന്റെ വർഗ്ഗം (Square) എത്ര?,16,Mathematical
ഒരു മീറ്ററിൽ എത്ര സെന്റിമീറ്ററുണ്ട്?,100,Mathematical
99 കഴിഞ്ഞാൽ വരുന്ന സംഖ്യ?,100,Mathematical
ഒരു വൃത്തത്തിന് എത്ര വശങ്ങളുണ്ട്?,0,Mathematical
അർദ്ധവൃത്തത്തിന്റെ ആകൃതി എന്ത്?,ഡി (D) രൂപം,Mathematical
12-നെ 3 കൊണ്ട് ഹരിച്ചാൽ എത്ര?,4,Mathematical
ഏറ്റവും വലിയ ഒറ്റ അക്ക സംഖ്യ?,9,Mathematical
രണ്ട് അഞ്ചുകൾ ചേർന്നാൽ എത്ര?,10,Mathematical
10-ന്റെ പകുതി എത്ര?,5,Mathematical
ഏറ്റവും ചെറിയ ഒറ്റ സംഖ്യ?,1,Mathematical
നാല് വശങ്ങളും തുല്യമായ രൂപം?,സമചതുരം,Mathematical
15-ൽ നിന്ന് 5 പോയാൽ?,10,Mathematical
3-ന്റെ മൂന്ന് മടങ്ങ്?,9,Mathematical
ഒരു ദിവസം എത്ര മണിക്കൂർ?,24,Mathematical
അഞ്ച് പൈസയുടെ 20 നാണയം ചേർന്നാൽ എത്ര?,1 രൂപ,Mathematical
പകുതിയുടെ പകുതി എത്ര?,കാൽ,Mathematical
7-ന്റെ ഇരട്ടി എത്ര?,14,Mathematical
ഒരു കൈയിൽ എത്ര വിരലുകളുണ്ട്?,5,Mathematical
0 മുതൽ 9 വരെയുള്ള അക്കങ്ങൾ എത്ര?,10,Mathematical
രണ്ട് പത്തുകൾ ചേർന്നാൽ?,20,Mathematical
100-ന്റെ പത്തിലൊന്ന് എത്ര?,10,Mathematical
ഒരു ലിറ്ററിൽ എത്ര മില്ലി ലിറ്ററുണ്ട്?,1000,Mathematical
4-നോട് എത്ര കൂട്ടിയാൽ 10 കിട്ടും?,6,Mathematical
ഒരു ചതുരശ്ര അടിയിൽ എത്ര വശങ്ങളുണ്ട്?,4,Mathematical
അഞ്ച് പേർക്ക് രണ്ട് വീതം മിഠായി നൽകാൻ എത്ര മിഠായി വേണം?,10,Mathematical
മൂന്ന് കിലോയിൽ എത്ര ഗ്രാം ഉണ്ട്?,3000,Mathematical
പകുതിയുടെ പകുതിയുടെ പകുതി എത്ര?,എട്ടിലൊന്ന്,Mathematical
ഒരു മണിക്കൂറിൽ എത്ര സെക്കൻഡുകൾ ഉണ്ട്?,3600,Mathematical
ഏഴ് വശങ്ങളുള്ള രൂപത്തിന്റെ പേരെന്ത്?,സപ്തഭുജം,Mathematical
100-ൽ പകുതിയുടെ കൂടെ 10 കൂട്ടിയാൽ എത്ര?,60,Mathematical
ഒരു വർഷത്തിൽ എത്ര മാസങ്ങളുണ്ട്?,12,Mathematical
രണ്ട് അക്കമുള്ള ഏറ്റവും ചെറിയ ഒറ്റസംഖ്യ?,11,Mathematical
അഞ്ച് രൂപയുടെ 20 നോട്ടുകൾ ചേർന്നാൽ എത്ര രൂപയാകും?,100,Mathematical
15-നെ 3 കൊണ്ട് ഗുണിച്ചാൽ എത്ര?,45,Mathematical
ഒരു കിലോ അരിക്ക് 40 രൂപയെങ്കിൽ 5 കിലോയ്ക്ക് എത്ര?,200,Mathematical
പത്തിന് താഴെയുള്ള അഭാജ്യ സംഖ്യകൾ എത്ര?,"4 (2, 3, 5, 7)",Mathematical
ഒരു ക്ലോക്കിൽ എത്ര അക്കങ്ങളുണ്ട്?,12,Mathematical
4-ന്റെ പകുതിയുടെ വർഗ്ഗം (Square) എത്ര?,4,Mathematical
രണ്ട് ഡസൻ മുട്ടയിൽ നിന്ന് 4 എണ്ണം ഉടഞ്ഞാൽ ബാക്കി എത്ര?,20,Mathematical
പൂജ്യം കൊണ്ട് ഏത് സംഖ്യയെ ഗുണിച്ചാലും ഉത്തരം?,0,Mathematical
ഒരു സ്ക്വയറിന് എത്ര വശങ്ങളുണ്ട്?,4,Mathematical
50-ന്റെ ഇരട്ടിയുടെ പകുതി എത്ര?,50,Mathematical
ഒരു ലാൻഡ്ലൈൻ ഫോണിൽ എത്ര അക്കങ്ങളുണ്ട് (Keys)?,12,Mathematical
അഞ്ച് അക്കമുള്ള ഏറ്റവും ചെറിയ സംഖ്യ?,10000,Mathematical
9-ൽ നിന്ന് എത്ര തവണ 3 കുറയ്ക്കാം?,ഒന്ന്,Mathematical
ഒരു മീറ്ററിന്റെ പകുതി എത്ര സെന്റീമീറ്റർ?,50,Mathematical
പത്തു രൂപയുടെ 5 നാണയം ചേർന്നാൽ എത്ര?,50,Mathematical
8-ന്റെ മൂന്ന് മടങ്ങ് എത്ര?,24,Mathematical
ഒരു ലിറ്റർ വെള്ളത്തിൽ എത്ര മില്ലി ലിറ്റർ ഉണ്ട്?,1000,Mathematical
ഏറ്റവും വലിയ രണ്ട് അക്ക ഇരട്ടസംഖ്യ?,98,Mathematical
പകുതി ആപ്പിളിന്റെ പകുതി എത്ര?,കാൽ ആപ്പിൾ,Mathematical
12-ന്റെ പകുതിയുടെ മൂന്ന് മടങ്ങ്?,18,Mathematical
ഒരു അഞ്ചും അഞ്ച് ഒന്നുകളും ചേർന്നാൽ എത്ര?,10,Mathematical
100 കഴിഞ്ഞാൽ വരുന്ന അടുത്ത ഇരട്ടസംഖ്യ?,102,Mathematical
മൂന്ന് അക്കമുള്ള ഏറ്റവും വലിയ സംഖ്യ?,999,Mathematical
ഒരു സെഞ്ച്വറിയിൽ എത്ര റൺസ് ഉണ്ട്?,100,Mathematical
അഞ്ചിൽ നിന്ന് അഞ്ച് കുറച്ചാൽ എത്ര?,0,Mathematical
ഒരു രൂപയിൽ എത്ര 50 പൈസകൾ ഉണ്ട്?,2,Mathematical
രണ്ട് കൈകളിലും കൂടി എത്ര വിരലുകളുണ്ട്?,10,Mathematical
പൂജ്യം കണ്ടുപിടിച്ച രാജ്യം ഏത്?,ഇന്ത്യ,Mathematical
ഒരു ദിവസത്തിന്റെ പകുതി എത്ര മണിക്കൂർ?,12,Mathematical
10-ന്റെ പത്തിരട്ടി എത്ര?,100,Mathematical
ആറ് കാലുകളുള്ള മൂന്ന് ഈച്ചകൾക്ക് ആകെ എത്ര കാലുകളുണ്ട്?,18,Mathematical
ഒരു കിലോ പഞ്ചസാരയിൽ എത്ര 500 ഗ്രാം ഉണ്ട്?,2,Mathematical
7-നോട് 3 കൂട്ടി 2 കുറച്ചാൽ എത്ര?,8,Mathematical
രണ്ട് കിലോമീറ്ററിൽ എത്ര മീറ്ററുണ്ട്?,2000,Mathematical
ഒരു ചതുരത്തിന് എത്ര വശങ്ങളുണ്ട്?,4,Mathematical
അഞ്ച് അക്കങ്ങളുള്ള ഏറ്റവും വലിയ സംഖ്യ?,99999,Mathematical
ഒരു ദശാബ്ദത്തിൽ എത്ര വർഷങ്ങളുണ്ട്?,10,Mathematical
9-ന്റെ വർഗ്ഗമൂലം (Square root) എത്ര?,3,Mathematical
ഒരു പൈസയുടെ 100 നാണയങ്ങൾ ചേർന്നാൽ എത്ര രൂപ?,1 രൂപ,Mathematical
ഏറ്റവും ചെറിയ മൂന്നക്ക സംഖ്യ?,100,Mathematical
4-ന്റെ ഇരട്ടിയുടെ പകുതി?,4,Mathematical
പകുതി ഭാഗവും അര ഭാഗവും ഒന്നാണോ?,അതെ,Mathematical
