Question,Answer,Category
"കാറ്റില്ലാത്ത കാറ്റ് ഏതാണ്?",കരിങ്കാറ്റ്,Wordplay
"വെള്ളമില്ലാത്ത പുഴ ഏതാണ്?",മണൽപുഴ,Wordplay
"തിരിക്കാത്ത തിരി ഏതാണ്?",കൺതിരി,Wordplay
"കുടിക്കാത്ത കഞ്ഞി ഏതാണ്?",മുണ്ടുകഞ്ഞി,Wordplay
"ഏതു വഴിയാണ് ആരും നടക്കാത്തത്?",പടവഴി,Wordplay
"ആരും വയ്ക്കാത്ത കറി ഏതാണ്?",ഉപ്പുകറി,Wordplay
"തിന്നാത്ത അപ്പം ഏതാണ്?",മുത്തപ്പൻ,Wordplay
"കെട്ടാത്ത താലി ഏതാണ്?",പനന്താലി,Wordplay
"ഇരിക്കാത്ത കസേര ഏതാണ്?",മരണകസേര,Wordplay
"കൊയ്യാത്ത നെല്ല് ഏതാണ്?",കരിനെല്ല്,Wordplay
"കാണാത്ത വെളിച്ചം ഏതാണ്?",അകത്തെ വെളിച്ചം,Wordplay
"കേൾക്കാത്ത ശബ്ദം ഏതാണ്?",മനസ്സിന്റെ ശബ്ദം,Wordplay
"കാണാത്ത കപ്പൽ ഏതാണ്?",സങ്കല്പം,Wordplay
"എടുക്കാത്ത വടി ഏതാണ്?",ഊന്നുവടി,Wordplay
"പേടിക്കാത്ത കടുവ ഏതാണ്?",വരയൻ കടുവ,Wordplay
"തിന്നാത്ത കായ ഏതാണ്?",കൈക്കാശ്,Wordplay
"കാണാത്ത കല്ല് ഏതാണ്?",തറക്കല്ല്,Wordplay
"തട്ടിവയ്ക്കരുത് എന്ന് പറയുന്ന വെയ്പ്പ് ഏതാണ്?",തട്ടിവെയ്പ്പ്,Wordplay
"കെട്ടാത്ത കെട്ട് ഏതാണ്?",പുകക്കെട്ട്,Wordplay
"തൂക്കാത്ത തൂക്കം ഏതാണ്?",അമിട്ടുതൂക്കം,Wordplay
"മിണ്ടാത്ത വാക്ക് ഏതാണ്?",അപവാദം,Wordplay
"ചൊല്ലാത്ത പാട്ട് ഏതാണ്?",ആട്ടുപാട്ട്,Wordplay
"പൂട്ടാത്ത പൂട്ട് ഏതാണ്?",വെട്ടിക്കെട്ട്,Wordplay
"ഉണ്ണാത്ത സദ്യ ഏതാണ്?",പട്ടണിസദ്യ,Wordplay
"പിടിക്കാത്ത മീൻ ഏതാണ്?",കണ്ണിമീൻ,Wordplay
"ഓടിക്കാത്ത പട ഏതാണ്?",പിൻപട,Wordplay
"കെട്ടാത്ത മാല ഏതാണ്?",തിരമാല,Wordplay
"കുഴിക്കാത്ത കുഴി ഏതാണ്?",കണ്ണുകുഴി,Wordplay
"തടയാത്ത ഓട്ടം ഏതാണ്?",മരണപ്പാച്ചിൽ,Wordplay
"കയ്യിൽ കിട്ടാത്ത പണം ഏതാണ്?",കള്ളപ്പണം,Wordplay
"അടിയുണ്ടാക്കാത്ത തല്ല് ഏതാണ്?",പഴിത്തല്ല്,Wordplay
"തുന്നാത്ത തുണി ഏതാണ്?",ചേമ്പില,Wordplay
"ഉടുക്കാത്ത മുണ്ട് ഏതാണ്?",മറുമുണ്ട്,Wordplay
"നമുക്ക് നടക്കാൻ പറ്റാത്ത വഴി ഏതാണ്?",ഇടവഴി,Wordplay
"നഷ്ടത്തിന് വിപരീതമല്ലാത്ത കഷ്ടം ഏതാണ്?",കഷ്ടം,Wordplay
"ചെല്ലാത്ത പുര ഏതാണ്?",ഗോപുരം,Wordplay
"നമ്മൾ മിണ്ടാത്ത വാക്ക് ഏതാണ്?",കടുവാക്ക്,Wordplay
"വിളിക്കാത്ത വിളി ഏതാണ്?",തലവിളി,Wordplay
"അളക്കാൻ പറ്റാത്ത അളവ് ഏതാണ്?",മതിപ്പളവ്,Wordplay
"വിതയ്ക്കാത്ത വിത്ത് ഏതാണ്?",മഞ്ഞവിത്ത്,Wordplay
"കാണാത്ത കരി ഏതാണ്?",പുകക്കരി,Wordplay
"മുറിക്കാൻ പറ്റാത്ത മരം ഏതാണ്?",തൂക്കുമരം,Wordplay
"നമുക്ക് കിട്ടാത്ത ലോട്ടറി ഏതാണ്?",ചീട്ടുകളി,Wordplay
"മുഖത്ത് വയ്ക്കാത്ത പൊട്ട് ഏതാണ്?",ചന്ദനപ്പൊട്ട്,Wordplay
"ചൊല്ലാത്ത മന്ത്രം ഏതാണ്?",അട്ടഹാസം,Wordplay
"നമുക്ക് ഇഷ്ടപ്പെടാത്ത ഭാഗ്യം ഏതാണ്?",നിർഭാഗ്യം,Wordplay
"ആരും ആഗ്രഹിക്കാത്ത മാനം ഏതാണ്?",അപമാനം,Wordplay
"കണ്ണാൽ കാണാത്ത കാഴ്ച ഏതാണ്?",പഴങ്കാഴ്ച,Wordplay
"തിരുത്താൻ പറ്റാത്ത അക്ഷരം ഏതാണ്?",തലയക്ഷരം,Wordplay
"ചെല്ലാത്ത കാട് ഏതാണ്?",പേടിക്കാട്,Wordplay
"തിന്നാൻ പറ്റാത്ത പഴം ഏതാണ്?",തല്ലുപ്പഴം,Wordplay
"വേദനയില്ലാത്ത തല്ല് ഏതാണ്?",മുട്ടത്തല്ല്,Wordplay
